Name,Type,Latitude,Longitude
군선생 이수역 9번 출구점,음식점,37.4840738,126.9807149
마을광장,음식점,37.5085388,126.9611506
고향쌀밥집,음식점,37.4838894,126.9733667
영풍치킨,음식점,37.4842493,126.9727828
하우스홀드,음식점,37.5115323,126.939274
박리김밥,음식점,37.5124581,126.9352171
둘리식당,음식점,37.5094444,126.9513889
잔치집,음식점,37.508553,126.962355
놀부부대찌개 보라매역점,음식점,37.4980298,126.9207304
백가네해물칼국수,음식점,37.5125382,126.9369025
충무김밥,음식점,37.4861093,126.9795757
59쌀피자,음식점,37.5080962,126.9262539
성찬양꼬치,음식점,37.4991442,126.9279274
대박,음식점,37.5083421,126.9610074
소본가,음식점,37.5108319,126.9322428
물바우,음식점,37.5078369,126.9638183
어심,음식점,37.4782412,126.9806053
미미향중화요리,음식점,37.5126967,126.9308125
황금어장,음식점,37.5144828,126.9370209
진남회집,음식점,37.5144828,126.9370209
미자식당,음식점,37.5144828,126.9370209
이모이모,음식점,37.4956768,126.9537418
삼칠포차,음식점,37.5129105,126.9444555
(중원)아라쭈꾸미(숭실대점),음식점,37.4957644,126.953658
연어이야기,음식점,37.5087817,126.9614063
테마,음식점,37.5126234,126.9443917
파즈,음식점,37.4980298,126.9207304
뚝배기스파게티:우뇽파스타,음식점,37.5119705,126.9440367
컵히커피,음식점,37.5091899,126.9611054
툇마루,음식점,37.4842493,126.9727828
회승관,음식점,37.4883705,126.9082625
대성관,음식점,37.5058114,126.9343468
옛날짜장,음식점,37.5085104,126.9317952
압구정봉구비어,음식점,37.5087817,126.9614063
하버드치킨호프,음식점,37.4991699,126.9211562
우정식당,음식점,37.5126644,126.9446479
캐빈(Cabin),음식점,37.5069893,126.9582133
오봉도시락사당점,음식점,37.4800022,126.9811625
상도고려왕족발보쌈 애(愛)감자탕,음식점,37.4991976,126.9276631
남해안,음식점,37.4777556,126.9808131
홍능갈비,음식점,37.4875237,126.9753783
양푼이 동태탕,음식점,37.5062698,126.9616401
